:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404586,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404588,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404590,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404592,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404594,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404596,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404598,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404600,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404602,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404604,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404606,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404608,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404610,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404612,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404614,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404616,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404618,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404620,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404622,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404624,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404626,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404628,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404630,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404632,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404634,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404636,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404638,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404640,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404642,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404644,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404646,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404648,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404650,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404652,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404654,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404656,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404658,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404660,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404662,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404664,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404666,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404668,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404670,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404672,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404674,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404676,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404678,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404680,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404682,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404684,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404686,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404688,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404690,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404692,CentiAccelX:-1,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404694,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
TimeStamp:1481404696,CentiAccelX:0,CentiAccelY:0,CentiAccelZ:0
